-118.39,-0.18,4.34
-118.49,-0.18,4.11
-118.44,-0.28,4.29
-118.37,-0.32,4.44
-118.41,-0.31,4.42
-118.41,-0.41,4.30
-118.37,-0.46,4.55
-118.37,-0.37,4.60
-118.37,-0.44,4.50
-118.40,-0.55,4.48
-118.44,-0.48,4.42
-118.47,-0.30,4.41
-118.47,-0.40,4.45
-118.52,-0.56,4.43
-118.62,-0.55,4.28
-118.66,-0.43,4.27
-118.61,-0.54,4.44
-118.52,-0.74,4.63
-118.46,-0.80,4.63
-118.46,-0.73,4.49
-118.52,-0.72,4.40
-118.67,-0.75,4.16
-118.70,-0.91,4.25
-118.69,-0.98,4.44
-118.74,-0.99,4.45
-118.79,-1.03,4.36
-118.80,-1.00,4.40
-118.75,-1.05,4.59
-118.76,-1.28,4.50
-118.77,-1.39,4.32
-118.72,-1.25,4.45
-118.67,-1.22,4.41
-118.57,-1.51,4.51
-118.49,-1.63,4.76
-118.46,-1.62,4.64
-118.70,-1.61,3.97
-118.94,-1.80,3.43
-118.80,-2.27,3.92
-118.62,-2.63,4.47
-118.83,-3.04,4.25
-119.10,-4.16,3.82
-119.21,-5.49,3.80
-119.28,-6.53,4.01
-119.47,-7.66,3.77
-119.83,-9.46,3.29
-120.07,-11.39,2.98
-119.99,-13.45,3.29
-120.22,-15.35,3.28
-120.19,-17.76,3.67
-119.95,-20.55,4.29
-119.81,-23.17,4.60
-119.82,-25.65,4.36
-119.87,-28.66,4.16
-119.94,-31.65,4.36
-120.21,-34.94,4.52
-120.47,-38.16,4.89
-120.73,-41.21,4.97
-121.01,-43.68,5.26
-121.24,-46.23,5.50
-121.48,-48.59,5.82
-121.61,-50.66,6.12
-121.66,-52.33,6.18
-121.93,-53.37,6.15
-121.92,-53.93,6.07
-121.60,-54.27,5.88
-121.34,-54.20,5.81
-120.94,-53.65,5.47
-120.71,-52.87,5.38
-120.57,-51.99,5.34
-120.40,-51.02,5.54
-120.07,-49.55,5.58
-120.08,-47.46,6.24
-120.14,-45.29,6.50
-119.83,-42.82,6.09
-119.44,-40.68,6.23
-119.08,-38.19,6.76
-118.72,-35.27,7.25
-118.82,-32.21,6.35
-119.19,-29.49,5.58
-119.38,-26.35,6.76
-119.50,-22.59,7.30
-120.31,-18.32,6.42
-120.80,-14.48,5.75
-120.77,-10.18,8.21
-120.24,-5.59,10.07
-120.21,-0.41,9.53
-120.64,3.33,8.49
-120.86,6.92,8.13
-120.93,11.05,8.83
-121.78,16.49,8.64
-123.29,20.46,6.71
-123.61,23.27,6.22
-123.08,26.25,7.49
-122.92,30.61,8.48
-124.45,34.12,6.05
-124.88,35.13,5.06
-124.44,36.14,5.46
-124.07,38.05,5.91
-123.71,39.81,6.78
-123.18,40.15,7.51
-122.48,40.33,8.47
-121.91,41.08,9.06
-120.84,41.98,10.25
-119.85,42.30,11.26
-120.00,42.45,10.82
-120.66,41.86,9.23
-121.06,40.97,7.59
-120.81,40.20,7.27
-121.69,40.31,5.78
-123.07,40.70,3.87
-124.57,40.19,1.60
-125.50,38.35,-0.25
-125.28,35.54,-0.63
-124.17,32.57,0.09
-122.64,29.13,1.18
-121.86,25.83,1.30
